GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
7,557.52,1273.84,2139.17,-1320.96,2171.25,611.2,-328.63,-3245.0,92.04,5103.4,-3152.97,1950.43
8,548.59,1228.17,2168.17,-1315.26,2172.49,622.85,-328.68,-3243.55,91.77,5096.34,-3151.78,1944.56
9,582.83,1258.53,2143.89,-1308.24,2162.78,598.88,-330.33,-3233.45,91.11,5108.34,-3142.34,1966.0
10,566.53,1223.42,2146.76,-1316.24,2160.95,617.17,-331.0,-3233.54,91.17,5067.6,-3142.38,1925.22
11,540.73,1278.79,2147.16,-1308.31,2165.35,605.35,-328.22,-3235.54,91.32,5100.85,-3144.22,1956.63
12,571.01,1203.76,2145.3,-1303.18,2164.64,607.33,-325.35,-3238.51,92.2,5063.51,-3146.31,1917.2
13,543.41,1238.14,2159.55,-1343.75,2178.02,611.89,-327.32,-3249.77,91.52,5059.94,-3158.25,1901.69
14,552.98,1231.07,2155.0,-1310.49,2148.57,598.25,-323.34,-3225.85,91.76,5052.03,-3134.1,1917.93
15,549.71,1235.52,2135.94,-1336.06,2167.26,594.48,-328.43,-3240.94,91.61,5018.41,-3149.33,1869.07
16,548.0,1237.83,2124.93,-1302.37,2192.7,608.83,-326.9,-3264.19,92.35,5083.01,-3171.84,1911.17
17,559.88,1224.31,2147.75,-1309.47,2179.2,609.14,-328.63,-3248.69,91.6,5082.18,-3157.09,1925.09
18,599.78,1226.09,2134.32,-1310.99,2177.26,602.21,-327.89,-3248.72,91.64,5100.76,-3157.07,1943.69
19,553.01,1226.72,2132.15,-1335.47,2210.82,616.93,-329.14,-3281.03,91.41,5075.02,-3189.62,1885.41
20,576.32,1236.72,2136.06,-1323.09,2184.66,613.72,-330.21,-3254.49,92.03,5094.18,-3162.46,1931.72
21,574.68,1213.16,2115.88,-1313.84,2182.23,602.81,-331.38,-3250.35,91.05,5043.53,-3159.3,1884.23
22,565.55,1232.08,2131.89,-1315.42,2199.28,617.64,-331.66,-3268.96,92.14,5099.34,-3176.82,1922.52
23,579.1,1201.58,2164.89,-1314.64,2198.25,617.09,-325.72,-3270.72,92.38,5120.54,-3178.34,1942.2
24,578.1,1205.15,2144.29,-1295.01,2165.52,607.27,-327.3,-3241.22,91.71,5078.02,-3149.51,1928.52
25,566.8,1217.55,2158.25,-1336.1,2183.75,622.5,-323.91,-3259.14,91.46,5088.84,-3167.68,1921.16
26,601.14,1202.01,2163.93,-1300.75,2155.1,597.08,-328.98,-3229.52,91.48,5089.53,-3138.03,1951.5
27,561.94,1211.01,2169.51,-1291.08,2144.55,598.39,-328.01,-3219.61,91.02,5066.32,-3128.59,1937.73
28,587.44,1198.7,2161.68,-1334.85,2175.4,606.59,-329.77,-3245.51,91.63,5065.19,-3153.88,1911.31
29,570.18,1226.18,2163.12,-1293.45,2159.52,610.86,-329.91,-3233.26,91.58,5106.5,-3141.67,1964.82
30,544.28,1231.88,2148.22,-1316.22,2162.6,608.86,-325.47,-3237.42,91.62,5054.15,-3145.8,1908.35
31,640.93,1218.52,2139.13,-1284.55,2154.05,596.42,-329.64,-3227.8,91.67,5134.85,-3136.13,1998.73
32,567.53,1246.37,2147.32,-1304.8,2159.48,597.05,-329.38,-3231.3,91.09,5083.56,-3140.22,1943.35
33,564.03,1218.78,2141.48,-1323.27,2169.08,621.04,-327.45,-3241.6,91.9,5063.68,-3149.7,1913.99
34,591.26,1255.95,2154.05,-1323.28,2186.38,614.5,-331.89,-3258.96,91.94,5146.96,-3167.02,1979.94
35,558.47,1235.49,2139.61,-1324.2,2185.33,613.81,-326.17,-3260.19,92.3,5082.34,-3167.88,1914.46
36,564.78,1211.73,2138.37,-1328.08,2158.88,616.09,-325.9,-3234.6,91.87,5035.87,-3142.73,1893.14
37,605.24,1264.04,2143.86,-1294.55,2164.2,607.0,-328.61,-3237.22,91.53,5161.2,-3145.69,2015.51
38,564.83,1223.71,2126.37,-1287.6,2163.3,604.36,-326.12,-3236.9,91.71,5068.83,-3145.19,1923.64
39,573.37,1259.27,2126.81,-1285.12,2161.37,617.19,-330.49,-3235.12,91.86,5122.41,-3143.26,1979.14
40,586.35,1169.14,2132.52,-1331.25,2152.49,593.91,-321.48,-3231.36,91.67,4981.69,-3139.69,1842.0
41,560.93,1168.01,2142.83,-1320.6,2155.37,611.26,-326.95,-3228.9,91.59,4990.86,-3137.31,1853.55
42,576.95,1237.49,2168.19,-1314.79,2167.36,606.75,-328.73,-3238.27,92.14,5113.22,-3146.13,1967.09
43,556.63,1224.12,2147.77,-1291.55,2155.8,604.47,-327.68,-3231.7,92.25,5069.55,-3139.46,1930.1
44,544.77,1231.95,2131.48,-1319.58,2194.21,608.21,-325.98,-3265.64,91.77,5065.05,-3173.87,1891.18
45,555.4,1239.99,2133.48,-1326.93,2174.98,612.64,-330.38,-3244.85,91.65,5059.17,-3153.19,1905.98
46,579.76,1258.19,2139.87,-1307.34,2180.9,609.57,-331.44,-3252.57,92.5,5129.51,-3160.07,1969.44
47,594.44,1242.5,2142.7,-1308.63,2199.46,628.37,-332.03,-3268.88,91.89,5166.8,-3176.99,1989.81
48,541.36,1243.53,2132.9,-1321.33,2174.76,622.82,-324.69,-3251.23,91.83,5069.36,-3159.4,1909.96
49,575.26,1218.77,2117.86,-1335.65,2194.89,611.61,-322.43,-3268.46,91.38,5060.31,-3177.08,1883.23
